Date,Age,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Gender,Job Role,Marital Status,Monthly Income,Over Time,Job Satisfaction,Environment Satisfaction,Relationship Satisfaction,Work Life Balance,Performance Rating,Total Working Years,Years At Company,Years In Current Role,Years Since Last Promotion,Training Times Last Year,Income_Leval,Age Group
2023-11-07,25,Yes,Travel_Rarely,Sales,1,Associates Degree,Life Sciences,Female,Sales Executive,Single,5993.0,Yes,4,2,1,1,3,8,6,4,0,0,Medium,18-25
2023-02-19,31,No,Travel_Frequently,R&D,8,High School,Life Sciences,Male,Research Scientist,Married,5130.0,No,2,3,4,3,4,10,10,7,1,3,Medium,26-35
2023-04-06,39,Yes,Travel_Rarely,R&D,2,Associates Degree,Other,Male,Laboratory Technician,Single,6512.767759562841,Yes,3,4,2,3,3,7,0,0,0,3,Medium,36-45
2023-10-28,33,No,Travel_Frequently,R&D,3,Master's Degree,Life Sciences,Female,Research Scientist,Married,2909.0,Yes,3,4,3,3,3,8,8,7,3,3,Low,26-35
2024-06-10,27,No,Travel_Rarely,R&D,2,High School,Medical,Male,Laboratory Technician,Married,3468.0,No,2,1,4,3,3,6,2,2,2,3,Low,26-35
2023-07-19,32,No,Travel_Frequently,R&D,2,Associates Degree,Life Sciences,Male,Laboratory Technician,Single,3068.0,No,4,4,3,2,3,8,7,7,3,2,Low,26-35
2024-06-17,59,No,Travel_Rarely,R&D,3,Bachelor's Degree,Medical,Female,Laboratory Technician,Married,2670.0,Yes,1,3,1,2,4,12,1,0,0,3,Low,56-65
2023-11-03,30,No,Travel_Rarely,R&D,24,Unknown,Life Sciences,Male,Laboratory Technician,Divorced,2693.0,No,3,4,2,3,4,1,1,0,0,2,Low,26-35
2024-06-26,38,No,Travel_Frequently,R&D,23,Bachelor's Degree,Life Sciences,Male,Manufacturing Director,Single,9526.0,No,3,4,2,3,4,10,9,7,1,2,High,36-45
2024-04-27,36,No,Travel_Rarely,R&D,27,Bachelor's Degree,Medical,Male,Healthcare Representative,Married,5237.0,No,3,3,2,2,3,17,7,7,7,3,Medium,36-45
2023-11-04,35,No,Travel_Rarely,R&D,16,Bachelor's Degree,Medical,Male,Laboratory Technician,Married,2426.0,No,2,1,3,3,3,6,5,4,0,5,Low,26-35
2023-12-07,29,No,Travel_Rarely,R&D,15,Associates Degree,Life Sciences,Female,Laboratory Technician,Single,4193.0,Yes,3,4,4,3,3,10,9,5,0,3,Low,26-35
2023-11-21,31,No,Travel_Rarely,R&D,26,High School,Life Sciences,Male,Research Scientist,Divorced,2911.0,No,3,1,4,2,3,5,5,2,4,1,Low,26-35
2023-05-31,34,No,Travel_Rarely,R&D,19,Associates Degree,Medical,Male,Laboratory Technician,Divorced,2661.0,No,4,2,3,3,3,3,2,2,1,2,Low,26-35
2024-12-05,28,Yes,Travel_Rarely,R&D,24,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Single,2028.0,Yes,3,3,2,3,3,6,4,2,0,4,Low,26-35
2023-01-19,29,No,Travel_Rarely,R&D,21,Master's Degree,Life Sciences,Female,Manufacturing Director,Divorced,9980.0,No,1,2,3,3,3,10,10,9,8,1,High,26-35
2023-10-30,32,No,Travel_Rarely,R&D,5,Associates Degree,Life Sciences,Male,Research Scientist,Divorced,3298.0,Yes,2,1,4,2,3,7,6,2,0,5,Low,26-35
2023-08-11,22,No,Non-Travel,R&D,16,Associates Degree,Medical,Male,Laboratory Technician,Divorced,2935.0,Yes,4,4,2,2,3,1,1,0,0,2,Low,18-25
2023-06-23,53,No,Travel_Rarely,Sales,2,Master's Degree,Life Sciences,Female,Manager,Unknown,15427.0,No,4,1,3,3,3,31,25,8,3,3,High,46-55
2024-05-06,38,No,Travel_Rarely,R&D,2,Bachelor's Degree,Life Sciences,Male,Research Scientist,Single,3944.0,Yes,4,4,3,3,3,6,3,2,1,3,Low,36-45
